text,True_Label,Predict_Label
b'nice avi lil nigger',Offensive,Hate Speech
b'get granny longjohns rednecksfor cold bone cold polar vortex sequel dog',Offensive,Neutral
b'jerryspringer raw white trash side applauding',Offensive,Hate Speech
b'shut dirty dirt trap limp knee ashy footed blue ball isolated hamster wheel nipple bitch',Hate Speech,Offensive
b'use call mom jap younger lol asian racial slur',Neutral,Hate Speech
b'remember said uchihas faggot week sasuke reaffirms flying color',Offensive,Hate Speech
b'damn think redskin lost',Neutral,Offensive
b'principle ghetto elementary school doubt finger crossed',Offensive,Neutral
b'free wop',Neutral,Offensive
b'store redneck',Neutral,Offensive
b'timbs straight trash though',Neutral,Offensive
b'noticed guy called jiggaboo',Neutral,Offensive
b'guy maine coon total cuddle bum every one ive ever met super friendly',Neutral,Offensive
b'lrg as nigguh',Hate Speech,Offensive
b'yes retard',Hate Speech,Offensive
b'national review call gay marriage lawlessness oregon tcot gop nom lol teabaggers',Neutral,Offensive
b'hate faggot talk shit block cant respond bitch write letter response',Hate Speech,Offensive
b'favorite episode friend one black mysteriously vanish unemployed white people find affordable ho',Neutral,Hate Speech
b'howard elbow bosh bosh fight back do not got mcbob bird ud',Neutral,Offensive
b'really need take rose colored glass though have got to stop thinking everybody shit good intention',Neutral,Offensive
b'damn whitey youll get kick newest form white privilege',Hate Speech,Offensive
b'via eat ice kevinsmith im eating anything tonight woman pitypussy make better',Offensive,Neutral
b'julius pepper still seems retarded',Offensive,Neutral
b'clan retard',Hate Speech,Offensive
b'okay many people really care see girl nip shirt',Offensive,Neutral
b'get paid chill share wealth lil nicca',Neutral,Offensive
b'whoever  ramlogan uwi business law though racist mudda cunt',Hate Speech,Offensive
b'do not fuck bitch nigga fuck nigga bitch',Hate Speech,Offensive
b'texted you fag',Offensive,Hate Speech
b'retard',Offensive,Hate Speech
b'fuck callin jiggaboo nigga',Hate Speech,Offensive
b'aint fair since like have not wanted go since either reason many nigger',Hate Speech,Offensive
b'gt get past boot camp go active year see really daily liberal pussy',Hate Speech,Offensive
b'look like pretty dyke',Hate Speech,Offensive
b'trash',Offensive,Neutral
b'suck dick taco el negro better',Hate Speech,Offensive
b'terrifying leprechaun',Neutral,Offensive
b'fun getting deported fucking faggot',Offensive,Hate Speech
b'hoe need stop dressing you all kid migos rapper you all fucked lil nigga wanted power ran',Hate Speech,Offensive
b'hispanic church jesus please respond hoe',Offensive,Hate Speech
b'ah smell ready open oven pull sshitty burnt ritz cracker perfect boy lu',Offensive,Neutral
b'mommy said pussy cat inside dawgs house',Neutral,Offensive
b'white trash warfare pt',Hate Speech,Offensive
b'rapeyass uhnot rape bitch nigga see passed drunk ht',Offensive,Hate Speech
b'have got to ghetto fool',Neutral,Offensive
b'wonder career dump  trash like belongs thank pointing true color',Offensive,Neutral
b'stay pooned bitch',Offensive,Hate Speech
b'stfu redneck white trash head as',Offensive,Hate Speech
b'know bout yo wack as dread nigger',Offensive,Hate Speech
b'teacher abuse position there teaching discipline there cunt cunt',Hate Speech,Offensive
b'else expect nigger lover',Hate Speech,Offensive
b'something good im always gon wetback coo',Hate Speech,Offensive
b'eat dat chicken love box baby lovin white woman eatin chicken colored man dream',Neutral,Offensive
b'welfaregovernment aid claimed white people you all black slander trash',Neutral,Hate Speech
b'typical coon activity',Hate Speech,Neutral
b'type special faggot bring chocolate swishers smoke session',Hate Speech,Offensive
b'trash though',Neutral,Offensive
b'slutty as dyke',Offensive,Hate Speech
b'woman shouldnt complain cleaning house amp man always take trash',Neutral,Offensive
b'faggot killed jesuschristgt hello whatever go ahead gaymarriage pharaoh pocketsgt',Offensive,Hate Speech
b'elite call conservative nigger behind closed door tcot teaparty',Hate Speech,Offensive
b'dyke date dyke shit gay you all',Offensive,Hate Speech
b'slightlyadjusted alls nigger  fuck tweet drink pineapple soda day',Hate Speech,Offensive
b'african colored car push niggerous whip',Hate Speech,Offensive
b'last name sinnerfirst name immalike your pancake tha mornin got you covered like aunt jemima',Neutral,Offensive
b'never seen ignorant illiterate piece shit life bring natl guard amp disperse trash',Hate Speech,Offensive
b'stupid redneck animal husbandry mean get hitched blue tick hound misty',Hate Speech,Neutral
b'jennifer lawrence nude sooooo trash im still smashin though doubt',Hate Speech,Neutral
b'school suck dick hoe attend',Offensive,Hate Speech
b'nigga put wig act like bitch retweets shit fu',Offensive,Hate Speech
b'noap taking maca root pill making vagina wop',Neutral,Offensive
b'cant wait till you amp ya boyfriend break nigga act like pussy',Offensive,Hate Speech
b'anything trash black president',Hate Speech,Offensive
b'fag tony',Offensive,Hate Speech
b'never friend entire time lived virginia one cool hope white trash southerner die',Hate Speech,Offensive
b'racist crew anchor right wing folk mock mixed gop kid',Neutral,Hate Speech
b'porch monkey life',Hate Speech,Offensive
b'nigga drop out of high school amp get job mcdonalds talkin bout grind lmao okay grind oreo mcflurr',Offensive,Hate Speech
b'you guy fag',Hate Speech,Offensive
b'thought would like cause chi yeah faggot',Hate Speech,Offensive
b'always get da colored folk back da cage wit da kfc',Hate Speech,Offensive
b'top ten rapper hoeshopsinlupecanibusimtchildish gpapoosehopsin againjoell ortizkrs',Offensive,Neutral
b'bro you trash zombie',Neutral,Offensive
b'congratulation officially fucking retarded',Hate Speech,Offensive
b'watch black whiggers cry',Offensive,Hate Speech
b'porcha grandma really like nig real tried hollar fo real',Offensive,Hate Speech
b'well want victoria secret dyke angel',Offensive,Hate Speech
b'every halfbreed cop america trying rape white woman',Offensive,Hate Speech
b'hell naw aint star team lol im sure white honkey called nigga',Hate Speech,Offensive
b'call son nigger even respectable white people uncomfortable  call thugyou probably get ',Offensive,Hate Speech
b'full called child child illegal border jumper m gang member',Hate Speech,Neutral
b'f you tumblr bc blog black amp white there many great colored thing could reblog fml',Neutral,Offensive
b'amp  guinea pig haunt',Offensive,Neutral
b' slit mf throat',Hate Speech,Offensive
b'gabbys bitch three account',Offensive,Hate Speech
b'retarded lol jk',Offensive,Hate Speech
b'happy birthday nicest faggot ever',Offensive,Hate Speech
b'guy complains gay oversensitive response look complaining like little pussy waahh waahh hypocrite',Hate Speech,Offensive
b'im pissed either go merit scholar use big word go ghetto fabulous talk like im trashy either way',Offensive,Neutral
b'ugly as nigga get pussy',Offensive,Hate Speech
b'unique ghetto hell',Offensive,Neutral
b'kid look like retard try hiding phone obvious',Hate Speech,Offensive
b'cry kill fire pussy cry help',Offensive,Hate Speech
b'could not find regular one faggot',Offensive,Hate Speech
b'pussy as nigga know nigga',Hate Speech,Offensive
b'bengal kicker trash',Neutral,Offensive
b'la mulatta refer darkie',Offensive,Neutral
b'jon stewart take crack stupid teabagger moron rick perry gayalcoholism commments',Offensive,Hate Speech
b'taking pic im school bathroom fucking stupid retard',Offensive,Hate Speech
b'meth brownie',Offensive,Neutral
b'whoop bought snuggly hideous fuzzy boot cold ball sudden',Neutral,Offensive
b'lmaoooo bunch fag',Hate Speech,Offensive
b'today horoscope you are still hoethat nice day',Neutral,Offensive
b'you all mean whoever running back telling tunchi wtf im  nigga dog nigga nd bitch',Offensive,Hate Speech
b' say something soooooo bad two cunt twitter eh',Hate Speech,Offensive
b'shy girl undercover freak',Neutral,Offensive
b'pillow talking yo hoe hating nigga fuck around loose ya hoe like',Hate Speech,Offensive
b'plz go starbucks ebola sound like really ghetto hood name tbh',Offensive,Neutral
b'damn redneck outside shooting gun keep waking kid sleep  tonight thank work going great',Offensive,Neutral
b'hoe thnk nigga  ridin fence start givin lil attention you hoe wishywashy as nigga oh',Hate Speech,Offensive
b'hate hacked  as hoe',Offensive,Hate Speech
b'swag fag sauce',Hate Speech,Offensive
b'forever hoe',Neutral,Offensive
b'roseanne really bum show woman note time chug zzzquil',Neutral,Offensive
b'you are retarded enough atleast date bring birthday',Offensive,Neutral
b'message sends lgbtq resident state west virginia paradise queer people today major',Offensive,Hate Speech
b'stupid teabagger restaurant making customer pay minimum wage fee',Hate Speech,Neutral
b'speak one coherent sentence without sounding like nig seriously',Hate Speech,Offensive
b'you all lady ever tank top something amp like one nip chilling outside shirt',Offensive,Neutral
b' happens date colored',Hate Speech,Neutral
b'thuggery cheating talking trash who besides jameis is not nd middle cheating issue',Neutral,Offensive
b'mf still spot yr ago beefing nighas sleeping hoe eating restau',Hate Speech,Offensive
b' cuddle boyfriend fuzzy blanket amp drink hot tea hair played go bed',Neutral,Offensive
b'first thing hit lotto buying two fat bitch watching eat one sitting',Hate Speech,Offensive
b'deze hoe got past demon em yolo nigga lol hahahahaha',Hate Speech,Offensive
b'love twat gender neutral',Offensive,Neutral
b'smh you nigger amp your music knowledge',Hate Speech,Offensive
b'heartless as niggah is not adays',Offensive,Hate Speech
b'yer going to continue contrarian bitch go die ive time trifling',Hate Speech,Offensive
b'like nigga yous real mark as bitch lol',Offensive,Hate Speech
b'already retarded',Offensive,Hate Speech
b'im mud shark black friend make perfect sense idiotic',Neutral,Offensive
b'asshats cair called islamophobe would say guilty fuck pas bacon bitch tcot',Offensive,Hate Speech
b'faggot',Offensive,Hate Speech
b'stfu hoe fucking answer smack shit out of faggot aunt',Offensive,Hate Speech
b'bitch as nigga called bitch',Offensive,Hate Speech
b'used shame hoeprostitute social medium call hustling lol',Offensive,Hate Speech
b'girl hoe',Neutral,Offensive
b'ahahahhping pang pow you like shout bro dre hogg style ent uza fool this',Neutral,Offensive
b'joan river said gay michelle tranny perhaps death accident see clinton ron brownvin',Offensive,Neutral
b'rain good go mall weather coon home',Hate Speech,Neutral
b'nigga aint playin gram defense man george need tell bitch as nigga man',Hate Speech,Offensive
b'support illegals coming spreading disease among american dream bitch',Hate Speech,Offensive
b'obispo ho well big',Neutral,Offensive
b'gay shit you better ask bitch',Offensive,Hate Speech
b'doctor office retarded noticed put prescription order canceled give  call need refill thank',Neutral,Offensive
b'mom im dramatic immature fucking mental problem you are bitch cunt',Hate Speech,Offensive
b'lol avila simple live pretty redneck area never get pronounced correctly',Offensive,Neutral
b'melo go bull still gon trash unless melo get special privilege allowin play allstar uniform',Neutral,Offensive
b'im bully halfretarded talking flotation device assure im bully',Offensive,Neutral
b'niccas broke always  limelight',Hate Speech,Offensive
b'photo giving trailer park trash transformthursday ladykimora vegasqueens vegasshowgirls',Neutral,Hate Speech
b'bruised ankle bitch',Offensive,Hate Speech
b'watch excited isi jihadis getting yezidi sex slave distribution day',Neutral,Offensive
b'ugly white bitch',Offensive,Hate Speech
b'do not sleep niggah chood',Hate Speech,Offensive
b'you see lame pic ofmine due infatuation nigger im hebrew fite child satan street',Hate Speech,Offensive
b'cheating good woman like eating trash instead going steak truth',Neutral,Offensive
b'acting like spoiled little faggot fun',Hate Speech,Offensive
b'trash',Offensive,Neutral
b'kissin small lip trash lol yes',Neutral,Offensive
b'did not buy alcohol weekend bought fag proud still quid tbh',Neutral,Offensive
b'finally warner bros making superhero film starring woman person color actor identifies queer',Neutral,Offensive
b'butt chug lokos nah',Offensive,Neutral
b'tyrese trash',Neutral,Offensive
b'rino trash like see conservative democrat party see black slave property tcot',Hate Speech,Neutral
b'nigga left ugly bitch',Offensive,Hate Speech
b'melo bitch leaf well lebron jus bitch regardless lol',Offensive,Hate Speech
b'really you use another nigga name you follow nigga does not fucking like faggot kok eyed mother fucker',Offensive,Hate Speech
b'guess want ghetto dad poor moral standard grandfather poor great man though',Offensive,Neutral
b'flipthesenate corrupt administration everchicagopolitics wh amp harry reid bitch',Offensive,Hate Speech
b'embarrassment bitch',Offensive,Hate Speech
b'wow fucken bradley suck as coach said niggah play barcelona hahahahahaha',Offensive,Hate Speech
b'god you are faggot do not think superman best superhero',Offensive,Hate Speech
b'sion faggot meh ganks pre post ganks still pretty meh he tank nothing special imo mao',Hate Speech,Offensive
b'baffle people talk upmost trash someone turn around close smh people probably',Offensive,Neutral
b'anybody trash neighborhood perceived injustice fucking moron ferguson',Hate Speech,Neutral
b'argue make break amp get back together  retarded eye',Offensive,Hate Speech
b'horrible friend read text put phone something forgets reply ho',Neutral,Offensive
b'almost got see white boy get beat around today ran like bitch',Hate Speech,Offensive
b'olympics brazil yet mean yay sport stop looking like queer goredskins',Offensive,Hate Speech
b'girl tweeted might ghetto you bring food outside moviesno you might stupid you pay fo',Neutral,Offensive
b'lmaoooo fam stabbed person cod ghost said stab like nigger',Offensive,Hate Speech
b'man swear today like nation hit tony he driving day chink almost smashed',Hate Speech,Offensive
b'ugly white bitch',Offensive,Hate Speech
b'know lh ghetto',Offensive,Neutral
b'nigga call bitch fight bitch naw im whomp trick feel im coming',Hate Speech,Offensive
b'white bitch dressed devil job oh irony lol',Offensive,Hate Speech
b'faggot truck tailgating hit break cut switched lane cut little biatch',Offensive,Hate Speech
b'this wu offered help faggot as nigga get custody kid im lowkey heated',Offensive,Hate Speech
b'sick trash talk cocky attitude shutupandplay ref take control needed',Neutral,Offensive
b'cont also provide colored sticker place nametags member indicate preferred pronoun',Neutral,Offensive
b'im nig',Offensive,Hate Speech
b'let nip ahoy spank maybe',Offensive,Neutral
b'lebron does not turn til december made trip faster kobe shaq mike bird hell back yal act like he retirin',Neutral,Offensive
b'da whitey',Offensive,Hate Speech
b'wonder titanium ankle killing woo retarded winter weather texas weather',Offensive,Neutral
b'fuck faggot',Offensive,Hate Speech
b'know you did not hit jigga fav purse chill',Neutral,Offensive
b'have got to love redneck loud stupid stubborn full schitt',Hate Speech,Offensive
b'green azz nigga amp you all new bitch condone dat sucka activity dat keep doin',Hate Speech,Offensive
b'you all suck flappy bird',Neutral,Offensive
b'mad live world whitey go jail word folk wear right hat amp tshirts wore shirt',Neutral,Offensive
b'haha bitch i am going to draw webb bullet round yo fuggin forehead beamthat bitch know reside',Hate Speech,Offensive
b'lmao yo cooned nigger boy',Offensive,Hate Speech
b'apology trash whats understood aint have got to explained',Neutral,Offensive
b'pussy as nigga',Hate Speech,Offensive
b'going to find redneck girl one day',Offensive,Neutral
b'really hate attention seeking hoe hope die',Hate Speech,Offensive
b'true life episode come later tonight pm central time true life  tranny',Offensive,Neutral
b'bitch need crowd fight clearly easily influenced amp weak minded amp likely commit suicide',Hate Speech,Offensive
b'nile im really sad do not enough friend ever called pack nigger  fuckin dream',Offensive,Hate Speech
b'never life coffee shop like starbucks hick though',Neutral,Offensive
b'peace faggot',Offensive,Hate Speech
b'aint shit girl bitch made nigga',Hate Speech,Offensive
b'mcdonalds hella trash',Neutral,Offensive
b'look like fag time line boring zzzzzz',Hate Speech,Offensive
b'hella ordered beany',Neutral,Offensive
b'amp foolish proud self roll eye pretend do not see mock laff arrogant attitude',Neutral,Offensive
b'grove trash imo',Neutral,Offensive
b'make nigger fucking goat',Offensive,Hate Speech
b'life nigger',Offensive,Hate Speech
b'picture weibo made china censor add big yellow duck list banned term',Neutral,Offensive
b'newly gay bitch do not kno shit work',Offensive,Hate Speech
b'you are bitch you are little fucking worm know',Offensive,Hate Speech
b'im colored aint supposed good influence',Offensive,Neutral
b'go pray church something fag one care religious bullshit',Hate Speech,Offensive
b'finna slit eyebrow shop nahhhhhh',Neutral,Hate Speech
b'nigga run mouth like bitch',Offensive,Hate Speech
b'ok bitch say wut think shesaid believe you described urself dumbass',Hate Speech,Offensive
b'thrill billywith hillbilly heart hahahahaha jesus murphy',Neutral,Offensive
b'she is cunt',Hate Speech,Offensive
b'basically gop romney right wing reactionary drudgies teabaggers libertaritards hate education system teacher',Neutral,Offensive
b'niggah know wassup',Hate Speech,Offensive
b'fag got pressed ground hang cleat  never put back think',Neutral,Offensive
b'whole bunch trash need jus go away r jus trash',Offensive,Neutral
b'omg nip',Offensive,Neutral
b'stopped caring mcm noticed dyke getting chose',Hate Speech,Offensive
b'hey jim youll love',Offensive,Neutral
b'fat bitch whats',Offensive,Hate Speech
b'nig fun watch got admit ebola boy speak broken spanish lol',Hate Speech,Offensive
b'nyc medium last week lol look flyover peckerwood freaking outnyc medium bring dead',Neutral,Hate Speech
b'medium matter executive behind stoprush campaign blogged trannies homo',Offensive,Hate Speech
b'lmfao wtf nigga really retarded im tf',Offensive,Hate Speech
b'fat as hoe holding machine',Hate Speech,Offensive
b'this wrong fuck wit lame nigga lame bitch',Hate Speech,Offensive
b'want punch throat get order wrong stupid bitch sonic',Hate Speech,Offensive
b'lay brother im honky',Offensive,Neutral
b'you are fucking loudmouth ignorant redneck fuck still tryin suck dick cant dumbfuckits short',Offensive,Hate Speech
